"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"DR09FA","LN","2023-10-22 12:04:34",1,1,1,"Ich saß am Tisch mit ein paar Leuten, die ich vor einer Woche auf einer Geburtstagsparty einer Freundin kennengelernt habe. Wir hatten alle dort übernachtet und wir konnten uns am nächsten Tag, bevor wir gefahren sind, nicht mehr verabschieden. Darüber und über die Party haben wir uns unterhalten.",1,1,1,NA,232,2,4,5,4,1,1,2,232,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
"DR09FA","LN","2023-10-23 08:27:07",1,1,1,"1. Ich hab geträumt, dass ich Donnerstag in der ExPra Übung unsere Präsentation halte, bzw. dass ich davon erfahre, dass unsere Gruppe als erstes vorstellt (wir sind auch in echt Gruppe 1, daher werden wir wahrscheinlich wirklich als erste Gruppe vorstellen).",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
"DR09FA","LN","2023-10-23 08:27:07",2,1,1,"2. Ich hab geträumt, dass ich als F1 Academy Fahrerin auf den Podium stand und Susie Wolff mit Champagner übergießen wollte, …",1,3,1,2,1,1,NA,1,NA,3,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"DR09FA","LN","2023-10-23 08:27:07",2,1,2,"… hab's dann aber gelassen, weil sie eine weiße Bluse anhatte. Da wusste ich aber glaub ich, dass ich träume.",1,3,1,2,1,1,NA,1,NA,3,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"DR09FA","LN","2023-10-24 13:02:02",1,1,1,"Ich stand in meiner Badewanne und musste mich aus irgendeinem wichtigen Grund komplett mit Farbe bemalen. Es war noch eine 2. Person im Raum, an die ich mich nicht erinnern kann, ich kannte sie aber nicht. Ich war auch leicht im Stress, weil ich irgendetwas wichtiges erledigen musste und die Farbe ging zur Neige.",1,5,1,4,1,1,NA,1,NA,5,1,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
"DR09FA","LN","2023-10-24 13:02:02",1,1,2,"Am Ende schaffte ich es doch, genug Rest-Farbe aus der Tube zu kriegen. An mehr erinnere ich mich nicht.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"DR09FA","LN","2023-10-27 15:00:50",1,1,1,"Ich hab geträumt , dass es einen neuen Film über die Edelsteintrilogie gibt.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"DR09FA","LN","2023-10-29 19:43:21",1,1,1,"Ich hab geträumt, dass ich an meinem Laptop auf magische Weise wieder mit 2 Fingern am Touchpad scrollen kann (das geht nämlich auf einmal nicht mehr und ich hab bis jetzt keine Lösung gefunden).",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
"DR09FA","LN","2023-11-02 20:33:31",1,1,1,"Ich war im Urlaub, irgendwo in einer Stadt in der Wüste (mit wem weiß ich nicht) und ich wurde irgendwo mit dem Helikopter hingebracht. Ich war aber nicht angeschnallt …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
"DR09FA","LN","2023-11-02 20:33:31",1,1,2,"… und der Typ hat angefangen Loopings zu fliegen, aber ich hab mich nicht verletzt, sondern bin wie schwerelos im Innenraum herumgeflogen/herumgeschleudert worden.",1,5,1,4,1,1,NA,1,NA,5,1,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
