"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"HL04MR","LN","2023-10-17 07:31:48",1,1,1,"Heute nacht habe ich geträumt, dass ich mit meiner Großmutter und einem Freund aus meiner Heimatstadt in einem Auto saß. Ich fuhr das Auto und meine Großmutter saß auf dem Beifahrersitz; mein Kumpel dementsprechend hinten.",1,"1",1,NA,"214, 231","1","1, 2",4,4,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
"HL04MR","LN","2023-10-17 07:31:48",1,1,2,"Ich erhielt in dem Traum auch eine Dronenansicht, in der ich das Auto von oben durch eine Allee fuhren sah, die von geernteten Feldern umgebrn war. Die Umgebung sah flach aus, aber nicht wie in meiner Heimat, dem Niederrhein, sondern eher wie das flache Brandenburg aus dem Film  Tschick . Das Auto war von außeb hellblau und im Radio lief  La la la  von Sam Smith und Naughty Boy",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69
"HL04MR","LN","2023-10-17 07:31:48",1,2,1,"In der nächsten Sequenz hielt ich vor einem Haus an, …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"HL04MR","LN","2023-10-17 07:31:48",1,2,2,"… in das meine Oma hineinging, um eine Freundin zu besuchen.",1,"214",1,2,"1","1",NA,1,NA,214,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"HL04MR","LN","2023-10-17 07:31:48",1,3,1,"Danach befand ich mich mit meinem Kumpel plötzlich in einer Eisenbahnunterführung in Valencia. Er zeigte mir auf seinem Handy seine neusten Tinder-Matches. Er wirkte sehr euphorisch darüber, doch ich dachte in diesem Moment, dass er keine besonders großen Chancen bei diesen Mädchen haben würde.",1,"231",1,1,"1","1",NA,3,4,231,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44
"HL04MR","LN","2023-10-17 07:31:48",1,3,2,"Zuletzt erhielt ich, noch im Tunnel, eine Audionachricht von meinem Kampfsport-Trainer, der mir sagte, dass ich irgendwas nicht bezahlen muss, ich weiß leider nicht mehr genau, was es war, doch ich freute mich sehr darüber, dass ich es nicht bezahlen musste.",1,"232",1,1,"1","1",NA,3,31,232,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
"HL04MR","LN","2023-10-18 06:32:23",1,1,0,"heute Nacht habe ich geträumt, dass ich mit meiner besten Freundin, die zeitgleich meine Mitbewohnerin ist, in einem großen, offenen Einfamilienhaus lebe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"HL04MR","LN","2023-10-18 06:32:23",1,1,1,"Als ich von einem Ausflug zurück komme und sie zuhause vermute, stelle ich fest, dass sie nicht in der Wohnung ist. Ich sehe allerdings an unserer neu aufgefüllten Küche inkl. Kühlschrank, dass sie einkaufen war.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
"HL04MR","LN","2023-10-18 06:32:23",1,1,2,"Als ich nach oben gehe sehe ich, dass sie noch mehr Dinge eingekauft hat, die nicht in der Küche sind. Es handelt sich um etwa 4 große Papptüten, die jeweils nur 2 oder 3 große Tomaten an einem Strauch enthalten.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
"HL04MR","LN","2023-10-18 06:32:23",1,1,3,"Ich sehe auf der App  Wo ist  nach und sehe, dass sie in Spanien ist.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
